case_id,slice_idx,Boundary Dice,Boundary Precision,Boundary Recall,HD95,ASSD,pred_pixels,gt_pixels
coronacases_003,99,0.7731755570326215,0.837606837641537,0.7179487180003757,9.219544457292887,2.568958312632503,3934,4230
coronacases_003,100,0.8208802565424219,0.8832599119199868,0.766730401574239,9.899494936611665,2.4646580280699304,3864,4135
coronacases_003,101,0.8377777874916517,0.8548752834796202,0.8213507625661546,6.4031242374328485,1.4218953209384448,3674,3998
coronacases_003,102,0.8219832844616215,0.8410757946598837,0.8037383178028649,5.949285568453579,1.3372955871865622,3626,3880
coronacases_003,103,0.759708753725823,0.7399527187375998,0.7805486284836537,8.06225774829855,1.8167623983208012,3548,3778
coronacases_003,104,0.8339222714758615,0.8156682028074498,0.8530120482281899,5.0,1.3302305968387167,3467,3582
coronacases_003,105,0.8488372182385067,0.833333333371385,0.864928909984614,4.0,1.3007336668557887,3438,3439
coronacases_003,106,0.8902291979880547,0.8785714286003401,0.9022004890214669,3.605551275463989,1.1832018450609532,3496,3614
coronacases_003,107,0.8906605983997934,0.9421686747127305,0.8444924406383386,2.8284271247461903,0.9502129430676997,3421,3545
coronacases_003,108,0.9237288176985659,0.9582417582509358,0.8916155419444549,3.0,0.8915264688496964,3533,3580
coronacases_003,109,0.9239013974848649,0.9556541020053982,0.8941908713912468,2.8284271247461903,1.164645731257889,3656,3721
coronacases_003,110,0.8723897984912969,0.9376558603646743,0.8156182212981306,7.674116076876723,1.89156013436864,3671,3768
coronacases_003,111,0.8987194468689982,0.8976744186284478,0.8997668997902641,2.8284271247461903,0.8822355005489142,3763,3771
coronacases_003,112,0.8964732708694549,0.9141531322704981,0.8794642857411911,3.0892527130926015,0.987689738760714,3808,3726
coronacases_003,113,0.8615049153718518,0.8777777778049383,0.8458244111679177,4.0,1.0780522820540956,3838,3580
coronacases_003,114,0.8279569996506639,0.8690744921288771,0.7905544148274015,5.0,1.6716048271689974,3734,3519
coronacases_003,115,0.8708571502953062,0.896470588259654,0.8466666667007408,4.123105625617661,1.3493963682049652,3589,3339
coronacases_003,116,0.8134490353467217,0.8503401360883582,0.7796257796715955,5.588931888902911,1.422585090932039,3503,3523
coronacases_003,117,0.9203142579864474,0.9624413145628072,0.8817204301329633,3.0,1.01940184049428,3547,3401
coronacases_003,118,0.8706140425352451,0.9063926940852984,0.8375527426503053,3.605551275463989,1.1168411236392857,3585,3515
coronacases_003,119,0.8012959087534159,0.8318385650601259,0.7729166667139757,4.3114892674833625,1.3858879006326077,3613,3493
coronacases_003,120,0.8552486272078712,0.9416058394302662,0.7834008097604452,7.280109889280518,1.4187490542154317,3411,3496
coronacases_003,121,0.7949599209875999,0.9429347826242025,0.6871287129332418,16.0,2.413198030346269,3302,3498
coronacases_003,122,0.8455467959473381,0.9664948453694601,0.7515030060618231,10.870551034457119,1.8072490675479052,3248,3238
coronacases_003,123,0.8981042710916576,0.9334975369621927,0.8652968036837222,2.8284271247461903,0.8827785259903816,3126,3083
coronacases_003,124,0.9561403531796833,0.9732142857202647,0.9396551724267984,2.0,0.5884874854466868,3123,3126
coronacases_003,125,0.8891428633870736,0.9350961538617557,0.8474945534101319,3.605551275463989,1.2677484314891083,3026,2961
coronacases_003,126,0.8449074166164722,0.864928909984614,0.8257918552430336,3.1622776601683795,1.474813900950483,3084,2928
coronacases_003,127,0.9127182092919646,0.9127182045105441,0.9127182045105441,2.8284271247461903,0.8093516727989895,2915,2680
coronacases_003,128,0.8911917159681805,0.9272237196961661,0.8578553616314575,2.914213562373095,1.5703582705541839,2726,2638
coronacases_003,129,0.8551724222994925,0.8659217877469493,0.8446866485436821,3.0,0.9229736166746232,2616,2493
coronacases_003,130,0.9008782991258063,0.9158163265520877,0.8864197531144643,3.0,1.0635249395320279,2634,2379
coronacases_003,131,0.8822055204899519,0.8866498740839673,0.8778054863147617,3.0,1.0053276793769084,2604,2277
coronacases_003,132,0.9008042950757926,0.913043478284499,0.8888888889182833,2.8284271247461903,0.8915373503032054,2385,2300
coronacases_003,133,0.8526011647375479,0.8939393939715335,0.8149171271229511,7.0710678118654755,1.5702690170010662,2169,2012
coronacases_003,134,0.8526912268065188,0.8361111111566358,0.8699421965693809,22.27488625989056,2.6315930006428423,2044,1990
coronacases_003,135,0.8559322118452942,0.8463687151267126,0.8657142857526531,32.424790720366495,3.5395437132270877,2059,1936
coronacases_003,136,0.908587262669678,0.8840970350716719,0.9344729344916032,2.8284271247461903,1.72779685390677,1947,1760
coronacases_003,137,0.9189944178376055,0.9241573033920907,0.9138888889128086,2.23606797749979,1.0669392290521218,1823,1693
coronacases_003,138,0.9550072592623305,0.967647058833045,0.9426934097585405,2.0,0.6893733866652161,1775,1707
coronacases_003,139,0.9002849058476425,0.9239766082093636,0.8777777778117284,3.0,0.9111598049546791,1786,1844
coronacases_003,140,0.8952654291198445,0.9122807017800348,0.8788732394707399,2.8284271247461903,0.8906329373017304,1730,1723
coronacases_003,141,0.8786127237050599,0.8888888889213775,0.8685714286089796,3.0,1.07059137879825,1666,1612
coronacases_003,142,0.8613861466949808,0.8312101911365573,0.8938356164747139,4.0,1.4199044167564325,1637,1602
coronacases_003,143,0.9376114115483635,0.9494584837727587,0.9260563380542055,2.23606797749979,0.8106688417174415,1577,1530
coronacases_003,144,0.9230769272690269,0.9000000000357142,0.9473684210724178,2.23606797749979,0.9713572819506306,1579,1537
coronacases_003,145,0.9405405437220556,0.9255319149200242,0.9560439560600572,2.23606797749979,0.782469850615152,1611,1538
coronacases_003,146,0.9508196747351935,0.9456521739327347,0.9560439560600572,2.0,0.7098945301337067,1627,1582
coronacases_003,147,0.9542961632888524,0.9525547445428633,0.9560439560600572,2.0,0.8470872845385826,1600,1493
coronacases_003,148,0.9440298537314146,0.9370370370603566,0.9511278195672451,2.23606797749979,0.7779369498783293,1555,1465
coronacases_003,149,0.8425047532379847,0.8538461539023667,0.8314606742204266,3.1622776601683795,1.07047200155904,1474,1409
