threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.05,100,0.7634054128145044,0.6794677614234776,0.7850228549202534,0.9968272866922582,0.8470492938074918,0.9936249095541297,0.003172713309309276,0.32896678267295454,0.00637509
0.055,0,0.7992491907181062,0.7105979439688321,0.8356129356294668,0.9965702006401551,0.8271619356027744,0.9939193330280608,0.003429799361412799,0.278376701963741,0.006080667
0.055,3,0.7992280435566856,0.7105750496652052,0.8355358654597391,0.9965716725347653,0.8271896777977755,0.9939186214783118,0.0034283274668026873,0.27845377213346845,0.0060813786
0.055,5,0.798947303102586,0.7104238052571039,0.8352738962278099,0.9965742964075524,0.827236572098735,0.9939184633561453,0.0034257035940155472,0.2787157413653979,0.0060815364
0.055,10,0.7975393324781918,0.7090343060439999,0.8329873945395064,0.9965806782782014,0.8281037961440798,0.9939117431640712,0.0034193217233663828,0.28100224305370153,0.006088257
0.055,20,0.79330695887847,0.705677732663581,0.8284371023376977,0.9966003562234338,0.8279747577749632,0.9938942706646784,0.0033996437781337835,0.2855525352555103,0.0061057294
0.055,30,0.7883502036080432,0.7019266112438545,0.8225056216761973,0.9966233004649677,0.8276171601862375,0.9938626462313882,0.003376699536599584,0.2914840159170109,0.006137354
0.055,50,0.7825929788425473,0.6967300206437121,0.8126460046483844,0.9966924574240178,0.8330566371511321,0.993782557354081,0.0033075425775501723,0.3013436329448238,0.0062174425
0.055,75,0.7777391573212079,0.6932102711462048,0.8033161675972638,0.996789703107387,0.8407001894694097,0.9937546487917025,0.0032102968941812434,0.31067346999594436,0.0062453514
0.055,100,0.7636348584678639,0.6797248534420257,0.7839672274516316,0.9968728570075499,0.8483985925441533,0.9936370849609465,0.0031271429940180795,0.3300224101415763,0.006362915
0.06,0,0.7993282834470348,0.7107497061310947,0.8340799260104647,0.9966144993085185,0.8289047332709719,0.993933089656542,0.0033855006930496663,0.2799097115827438,0.0060669105
0.06,3,0.7991440613282788,0.7106423260409886,0.8339203454961993,0.9966158026289132,0.8289222947065944,0.9939322990457098,0.0033841973726550915,0.2800692920970092,0.006067701
0.06,5,0.7991278941471884,0.7106350370825576,0.8338254835691348,0.9966184265017003,0.8289889559832356,0.993932694351126,0.003381573499867951,0.28016415402407374,0.006067306
0.06,10,0.7976694632261088,0.7092045122812041,0.831572271483801,0.9966245898709396,0.8295782015070129,0.9939255788536356,0.0033754101306286447,0.28241736610940754,0.006074421
0.06,20,0.7936170698749554,0.706058701019099,0.8271615732468902,0.9966463108927373,0.8296725044022764,0.9939110316143221,0.0033536891088306797,0.28682806434631813,0.0060889684
0.06,30,0.7885613639496984,0.7021431698035756,0.8212059633986847,0.9966692136289559,0.8291662265768306,0.9938754541268707,0.0033307863726121417,0.29278367419452356,0.006124546
0.06,50,0.7827979543507143,0.696938349424752,0.8115409620784257,0.9967320996746684,0.8343406036930486,0.9937952861884803,0.0032679003268995133,0.3024486755147822,0.0062047136
0.06,75,0.777917558561181,0.693388512116871,0.8022455105142705,0.9968278681932604,0.8419352992742847,0.993766745137436,0.0031721318083073255,0.31174412707893745,0.006233255
0.06,100,0.7637244749761709,0.6797109242425307,0.7828185923088771,0.9969127578420791,0.8496458494987366,0.993633764395451,0.003087242159488677,0.3311710452843307,0.0063662357
