case_id,slice_idx,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
coronacases_003,78,0.8475057308170777,0.7353665466994627,0.7628217724550438,0.9968567505418021,0.9533398821229533,0.97868347167972,0.0031432494598521957,0.23717822756460646,0.021316528
coronacases_003,79,0.8334238835180546,0.7144187779486881,0.7477091050936302,0.9960435048918237,0.94133529700684,0.9766082763672231,0.003956495109831714,0.2522908949258668,0.023391724
coronacases_003,80,0.8409726705418444,0.7255848496151952,0.7604592333185355,0.9959103929003164,0.9405535499412623,0.9774475097656594,0.004089607101339322,0.23954076670092353,0.02255249
coronacases_003,81,0.8445807770977037,0.7309734513321952,0.7490025389962096,0.9977341641398192,0.9681200187536775,0.9768066406250354,0.00226583586184688,0.25099746102192605,0.02319336
coronacases_003,82,0.8618925831216763,0.7573033707910617,0.8052568697768766,0.9947450176818674,0.92709766162478,0.9802246093750302,0.005254982319785083,0.19474313024303577,0.01977539
coronacases_003,83,0.8892474357509593,0.8005810334135592,0.840156794428568,0.9962752690995073,0.9444308445546039,0.9853363037109599,0.0037247309021335574,0.159843205593209,0.014663696
coronacases_003,84,0.8964064436196232,0.8122613968153546,0.8794067590595817,0.9944646142324627,0.9140763204469529,0.9872436523437694,0.005535385769165402,0.12059324096473151,0.012756348
coronacases_003,85,0.8835008870504611,0.7913135593264552,0.8659865522869004,0.993352171569519,0.9017382906832029,0.9849700927734605,0.006647828432114323,0.13401344773628535,0.015029907
coronacases_003,86,0.8879636638924052,0.7985023825777512,0.9090674244404787,0.9913078731857758,0.8678175092511019,0.9864501953125207,0.008692126815845792,0.09093257558535438,0.013549805
coronacases_003,87,0.853947722987686,0.745121091000585,0.8824839877504181,0.989313100330956,0.8271991647134639,0.9834594726562752,0.010686899670658346,0.11751601227742925,0.016540527
coronacases_003,88,0.8716790648263592,0.7725453261179057,0.911895497501059,0.9895217798443774,0.8348600508947873,0.9852600097656475,0.01047822015723711,0.08810450252673419,0.01473999
coronacases_003,89,0.8686684073124195,0.7678282944895493,0.8782998944065918,0.9911738032001179,0.8592458677722302,0.9846496582031484,0.008826196801501544,0.12170010561980729,0.015350342
coronacases_003,90,0.8602006688981912,0.7546948356865095,0.9230548377857292,0.9874784458447013,0.8053607214477615,0.9840545654297118,0.012521554156910187,0.07694516224298177,0.015945435
coronacases_003,91,0.8706819057419971,0.7709802137873327,0.9341416368163642,0.9875942946678282,0.8152958153002574,0.9846343994140859,0.012405705333787122,0.06585836321119155,0.015365601
coronacases_003,92,0.9125110465861317,0.8390991409371,0.9450836820098043,0.9921733212341325,0.8821088601444445,0.9894256591797036,0.007826678767487966,0.05491631801634633,0.010574341
coronacases_003,93,0.9249051833132124,0.8603010348104351,0.9336396120486564,0.9945795059885186,0.9163326653327571,0.9909362792968889,0.005420494013104254,0.06636038797686676,0.009063721
coronacases_003,94,0.917987070605679,0.8484067478948358,0.9139323573974273,0.9950303699613554,0.9220779220799064,0.9901275634765776,0.0049696300402686695,0.08606764262781254,0.0098724365
coronacases_003,95,0.8871527777791772,0.7971918876800269,0.851261304144425,0.9953533113770578,0.9262040393597565,0.9861145019531462,0.004646688624572592,0.1487386958793732,0.013885498
coronacases_003,96,0.8788495800473549,0.7838819523318075,0.856398809527371,0.9939353537981368,0.9025091479377284,0.9854736328125222,0.006064646203489099,0.14360119049743053,0.014526367
coronacases_003,97,0.8990212461219977,0.8165654813569695,0.8533877181089193,0.9967442697511628,0.9498108448940779,0.9870910644531447,0.0032557302504732165,0.14661228191374093,0.012908936
coronacases_003,98,0.8922542204581398,0.8054683998250679,0.8819631901869457,0.9937033240591697,0.9027882441622007,0.9867553710937702,0.006296675942457336,0.1180368098375942,0.013244629
coronacases_003,99,0.9066634002951168,0.8292628276982016,0.8749408983481102,0.9961993932078488,0.9407727503827968,0.9883728027343928,0.0038006067937823365,0.12505910167553053,0.011627197
coronacases_003,100,0.9188648581082777,0.8499074930654508,0.8887545344646008,0.996921874236581,0.951086956523005,0.9900970458984526,0.0030781257650476733,0.11124546555958295,0.009902954
coronacases_003,101,0.9176225234630132,0.8477842003890226,0.8804402201130455,0.9974974812311133,0.9580838323364702,0.9903564453125148,0.002502518770511712,0.11955977991196699,0.009643555
coronacases_003,102,0.9155342392763718,0.8442260442298716,0.8855670103122276,0.9969183858829685,0.9476006618878212,0.9903259277343898,0.0030816141186533644,0.11443298971354555,0.009674072
coronacases_003,103,0.9028119028132294,0.8228415028658164,0.8753308628937181,0.9960976715567277,0.9320744081191636,0.9891357421875165,0.0039023284448915082,0.12466913713275096,0.010864258
coronacases_003,104,0.9107674847508758,0.8361552487669666,0.8961474036879914,0.9958517609839626,0.9258725122605748,0.9904022216797022,0.0041482390176515675,0.10385259633992595,0.009597778
coronacases_003,105,0.9172604333296894,0.8471662637698854,0.9171270718256143,0.995426510137373,0.9173938336266029,0.9913177490234507,0.004573489864237285,0.08287292820346401,0.008682251
coronacases_003,106,0.9353023909995035,0.878467635406117,0.9200332042080788,0.9972384612900145,0.9510869565231382,0.9929809570312607,0.0027615387116004626,0.07996679581959142,0.007019043
coronacases_003,107,0.9440137812238872,0.8939641109327362,0.9275035260951339,0.997854527270091,0.9611224788085027,0.9940490722656341,0.0021454727315220828,0.07249647393307486,0.0059509277
coronacases_003,108,0.9444678757212924,0.8947789025067986,0.9382681564263053,0.9971915552973123,0.9507500707627866,0.9939727783203217,0.0028084447043017487,0.0617318436016276,0.0060272217
coronacases_003,109,0.9366951335239705,0.880928097912266,0.9285138403674142,0.9967483620480518,0.9450218818395781,0.9928741455078234,0.0032516379535658794,0.0714861596594602,0.0071258545
coronacases_003,110,0.9399112783984418,0.886634542229606,0.9278131634838691,0.9971668177697235,0.9523290656509853,0.9931793212890729,0.002833182231895426,0.0721868365426702,0.0068206787
coronacases_003,111,0.9461109636322523,0.8977329974836843,0.9451073985694748,0.996778110580431,0.9471166622389817,0.9938049316406344,0.003221889421188016,0.05489260145704342,0.0061950684
coronacases_003,112,0.9410671621988178,0.8886939082504715,0.951422436930987,0.9957450250768553,0.9309348739513935,0.9932250976562603,0.004254974924762571,0.04857756309585138,0.0067749023
coronacases_003,113,0.9263952547866487,0.8628829733836544,0.9597765363139728,0.9935115243075836,0.8952579468500453,0.9916687011718878,0.0064884756940304595,0.04022346371396024,0.008331299
coronacases_003,114,0.9130015166150145,0.839928970070017,0.9408922989502446,0.9931792895496506,0.8867166577427231,0.9903717041015772,0.006820710451961848,0.05910770107817256,0.009628296
coronacases_003,115,0.9171478060058148,0.8469741402333518,0.9514824797858197,0.9933758862967774,0.8852047924244858,0.9912414550781383,0.00662411370483042,0.048517520244129454,0.008758545
coronacases_003,116,0.9163108454324465,0.8455476753389665,0.9137099063322819,0.9954203150952293,0.91892663431576,0.9910278320312637,0.004579684906383211,0.08629009369610305,0.008972168
coronacases_003,117,0.9421416234896065,0.8906122449009357,0.9623640105862287,0.9955902470427367,0.9227516210904214,0.9938659667968843,0.004409752958872762,0.03763598944317448,0.006134033
coronacases_003,118,0.9267605633813132,0.8635170603710363,0.9359886202009676,0.9952435465406955,0.9177126917735645,0.9920654296875121,0.004756453460916857,0.0640113798274819,0.00793457
