threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.04,20,0.8005913645503681,0.7131724177045112,0.8279704406270817,0.996942626432371,0.8378752423714468,0.9941251290276963,0.003057373569196941,0.28601919696612643,0.005874871
0.04,30,0.7960813754192003,0.7093639036827971,0.8216011449263774,0.9969660554739782,0.8425370317219444,0.9940976948318172,0.0030339445275895595,0.29238849266683076,0.0059023052
0.04,50,0.7836525200065592,0.7000497211214858,0.8091619615269317,0.9970252498144581,0.8487100237233507,0.9940154713052629,0.0029747501871097877,0.30482767606627637,0.005984529
0.04,75,0.7773166647880762,0.6946654380240768,0.7987437983268507,0.997107107578956,0.8540512552961492,0.9939644769065825,0.00289289242261179,0.31524583926635735,0.006035523
0.04,100,0.763071488497337,0.680399350083606,0.7784375402898962,0.9972115407296507,0.8568113299591448,0.9938269106217702,0.0027884592719169647,0.3355520973033118,0.006173089
0.045,0,0.8040810955180684,0.716143775334638,0.8313663879993692,0.9969555954047984,0.8388240499482434,0.9941543816284898,0.0030444045967692886,0.28262324959383883,0.0058456184
0.045,3,0.8040772194140218,0.7161482945948365,0.8312850484796047,0.9969570599750274,0.8388783678068645,0.9941542235063233,0.003042940026540192,0.28270458911360336,0.0058457763
0.045,5,0.8039220721568933,0.7159675516042792,0.8309767712834403,0.9969582798611597,0.8388427097535137,0.9941518516738266,0.003041720140407951,0.2830128663097679,0.0058481484
0.045,10,0.8017927778258317,0.714475551166701,0.8290576603746308,0.9969637376264933,0.8393701938576174,0.9941429968325053,0.0030362623750741628,0.28493197721857744,0.0058570034
0.045,20,0.8006532521073793,0.7132371283296081,0.8266260742943224,0.9969869511799481,0.8394826358153138,0.9941344582355169,0.003013048821619609,0.28736356329888574,0.0058655418
0.045,30,0.7948538218224505,0.7086441211720194,0.8195097231081188,0.9970104312707542,0.8456759434590116,0.9941027547411436,0.0029895687308132326,0.2944799144850895,0.0058972454
0.045,50,0.7836303514939751,0.7000276469149547,0.8079545839287252,0.997064113727358,0.8497517632420992,0.9940222705584203,0.002935886274209846,0.3060350536644829,0.0059777293
0.045,75,0.7770516886893435,0.6941730837595385,0.7968547147593331,0.9971537963291043,0.8551948811217625,0.9939599704248385,0.0028462036724633583,0.3171349228338751,0.0060400297
