threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.13,0,0.797821006559491,0.7094977010250758,0.8181476035970363,0.9970265815481449,0.8422450305345912,0.994001872798948,0.0029734184534227796,0.29584203399617176,0.005998127
0.13,3,0.7977076284201925,0.7094130791327912,0.8179762878913182,0.9970282981160606,0.842361830392907,0.9940013193713654,0.0029717018855070555,0.29601334970188997,0.005998681
0.13,5,0.7974386853251371,0.709225834484904,0.8175747555328721,0.9970296253425516,0.8421806289548821,0.9940006078216164,0.002970374659015954,0.29641488206033606,0.0059993924
0.13,10,0.7964969249031227,0.7082702619318249,0.8162634307027365,0.9970366260388622,0.8425881727498591,0.9939943619960415,0.002963373962705324,0.2977262068904716,0.006005638
0.13,20,0.7924442716233077,0.705083979830526,0.81187782701888,0.9970551072425744,0.8423566886528131,0.9939706436710739,0.0029448927589928193,0.30211181057432823,0.0060293563
0.13,30,0.7868287027416673,0.7007613422155199,0.805745139308421,0.997078215528375,0.8438293156403873,0.9939360939777047,0.0029217844731923765,0.3082444982847874,0.006063906
0.13,50,0.781993240880005,0.6966250374313347,0.7975730028729623,0.9971323986503189,0.8492467989978059,0.9938654924303844,0.0028676013512484153,0.3164166347202457,0.0061345077
0.14,0,0.7978743615280577,0.7095409940818792,0.8167245887968014,0.9970718820065195,0.8439044283507646,0.9940093836018544,0.002928117995048916,0.2972650487964067,0.0059906165
0.14,3,0.7977082107307031,0.7094078496640113,0.8164818666280085,0.9970731077203732,0.8439514261983149,0.9940083558077725,0.002926892281195176,0.29750777096519965,0.005991644
0.14,5,0.7970080920251663,0.7088657397313493,0.8158460463110367,0.9970743537039647,0.8438726434411683,0.9940072489526073,0.0029256462976034454,0.2981435912821714,0.005992751
0.14,10,0.7966800366253892,0.7084513653220077,0.8151001296726739,0.9970824297496357,0.8439905422495755,0.9940040865092783,0.002917570251932303,0.2988895079205342,0.0059959134
0.14,20,0.7924786156439289,0.7050512407133991,0.8105263248207906,0.9970986163544494,0.8436554979657581,0.9939763360690662,0.0029013836471185415,0.3034633127724175,0.006023664
0.14,30,0.7868158115953265,0.7006639386094514,0.8043408790077485,0.9971225087280656,0.8451619316530269,0.9939383076880349,0.0028774912735023525,0.30964875858545965,0.0060616923
0.14,50,0.7820718421101561,0.6966933347487392,0.79621877875775,0.9971799961729279,0.8507010380342841,0.9938704732786275,0.0028200038286395647,0.3177708588354579,0.0061295265
0.15,0,0.7978718410163359,0.7095241122330155,0.8153266314586401,0.9971112135469807,0.8452350661459053,0.9940107276402692,0.0028887864545862653,0.2986630061345677,0.005989272
0.15,3,0.7977013948543806,0.7093844966440928,0.815084224914935,0.9971124443495474,0.8452821734615211,0.994009620785104,0.002887555652019787,0.29890541267827286,0.005990379
0.15,5,0.7968820521425501,0.7086876112852412,0.8142368849271396,0.9971135171380786,0.8452049856410294,0.9940074070747738,0.002886482863488577,0.2997527526660683,0.005992593
0.15,10,0.7967078416582486,0.7084698075307351,0.813773731471794,0.997121270229965,0.8453285950578364,0.9940048771201105,0.0028787297716022973,0.300215906121414,0.0059951227
0.15,20,0.7925487549010406,0.7051215798042554,0.8093009672767703,0.9971374569168695,0.8450040539061747,0.9939787869626463,0.002862543084697969,0.3046886703164377,0.0060212133
0.15,30,0.7869399237392926,0.7007874789417257,0.8031535681137283,0.9971615494636501,0.8466398464808313,0.9939418654367801,0.0028384505379174,0.31083606947947967,0.0060581346
0.15,50,0.7821562030038217,0.6967739771698115,0.7951523854089155,0.9972170795715778,0.851907195403577,0.9938707895229605,0.00278292042998948,0.3188372521842924,0.0061292103
0.16,0,0.7977308515290557,0.7094580025513867,0.8136368434636899,0.9971533611722113,0.846730637108848,0.9940152341220131,0.0028466388293557636,0.30035279412951765,0.005984766
0.16,3,0.7975641377021837,0.7093501002244841,0.8133958680098262,0.9971550109456802,0.8467474673020887,0.9940152341220131,0.0028449890558870316,0.30059376958338135,0.005984766
0.16,5,0.796863612638902,0.7087203774182542,0.812697855028737,0.9971553338381366,0.8467649181626284,0.9940126251062666,0.0028446661634305317,0.30129178256447053,0.005987375
0.16,10,0.7966874019191618,0.7084959820700766,0.8122495732025384,0.9971625184551056,0.846873886899142,0.9940094626629377,0.002837481546461446,0.3017400643906691,0.0059905373
0.16,20,0.7926375884144373,0.7052579666068748,0.8079180589161304,0.9971798934629756,0.8465811881714679,0.993983609688723,0.0028201065385914732,0.306071578677077,0.0060163904
0.16,30,0.7875734498092959,0.7016152419915631,0.8019114470808328,0.997205625875378,0.8488164352006525,0.9939493762396865,0.002794374126188985,0.3120781905123748,0.006050624
0.16,50,0.7823525634273596,0.6969965634374967,0.7940695473736444,0.9972551288911723,0.8532919492861424,0.9938767981652855,0.002744871110394793,0.31992009021956314,0.006123202
0.17,0,0.7974034830024089,0.7091116623750029,0.8118559662782752,0.9971928259714921,0.8479323427731867,0.9940160247328454,0.0028071740300754516,0.3021336713149328,0.0059839753
0.17,3,0.7972716948990087,0.7090194085139288,0.8116607443716412,0.9971941450587798,0.8479755437003742,0.9940157084885124,0.0028058549427876904,0.30232889322156686,0.0059842914
0.17,5,0.7967156670024669,0.7085206678517668,0.8110955718409558,0.9971944679512361,0.8479940423217069,0.9940138900835982,0.0028055320503311905,0.3028940657522522,0.00598611
0.17,10,0.795873864136707,0.7077347666376527,0.8100829876826567,0.9972015721062366,0.8479720144307631,0.9940093836018544,0.0027984278953303876,0.30390664991055116,0.0059906165
