mode,threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,mae,tp,tn,fp,fn
raw_probability_tta,0.1,20,0.2189235005515944,0.12291639388841209,0.5822796889161781,0.9918517257087469,0.1348031635222756,0.9909606725991168,0.009039327502250671,12204,9534505,78328,8755
raw_probability_tta,0.1,30,0.2189124605534176,0.12290943353712858,0.5725941123142456,0.9920229551475607,0.13532469582669335,0.9911104578550161,0.00888954196125269,12001,9536151,76682,8958
raw_probability_tta,0.1,50,0.21846973620021218,0.12263038166651333,0.5555608569108471,0.9923026853790127,0.13596926562115255,0.9913525224542933,0.008647477254271507,11644,9538840,73993,9315
raw_probability_tta,0.1,75,0.20753505922624554,0.11578193497980427,0.509089174101575,0.9925935465642637,0.1303333455482514,0.9915416483976394,0.008458351716399193,10670,9541636,71197,10289
raw_probability_tta,0.1,100,0.20174088050312436,0.11218676903446943,0.4782670928954252,0.9928853439979651,0.1278310548867415,0.9917657553744145,0.008234244771301746,10024,9544441,68392,10935
raw_probability_tta,0.1,150,0.18443904511825057,0.10158791123058901,0.4038360608805745,0.9935130465701413,0.11951088644769711,0.9922301623286024,0.007769837509840727,8464,9550475,62358,12495
raw_probability_tta,0.1,200,0.16417254539144627,0.08942700196541735,0.33866119566757064,0.993923435474224,0.10834821633006543,0.992497865845556,0.007502133958041668,7098,9554420,58413,13861
raw_probability_tta,0.11,0,0.24650021935944577,0.14057613355925208,0.5897705043176726,0.9930330631979137,0.15581157904022844,0.9921557368064403,0.007844262756407261,12361,9545861,66972,8598
raw_probability_tta,0.11,3,0.24713459884381342,0.14098891944629857,0.5894842311176156,0.9930642714795931,0.15633897275612685,0.9921862543845653,0.007813745178282261,12355,9546161,66672,8604
raw_probability_tta,0.11,5,0.24763777158101313,0.14131654264451732,0.5889593969175109,0.9930935032367659,0.1567790690290015,0.992214280731823,0.007785719353705645,12344,9546442,66391,8615
raw_probability_tta,0.11,10,0.24868158675207266,0.14199678646150782,0.5860966649169397,0.9931809904530736,0.15782305933137733,0.9922953495362979,0.007704650517553091,12284,9547283,65550,8675
raw_probability_tta,0.11,15,0.24971400555643797,0.14267040149391425,0.5832339329163685,0.9932672293381141,0.15886672298392893,0.9923751727253391,0.007624827325344086,12224,9548112,64721,8735
raw_probability_tta,0.11,20,0.2508845951494011,0.14343512981113468,0.5801803521157592,0.9933611662659687,0.160046329200537,0.9924622620044102,0.00753773795440793,12160,9549015,63818,8799
raw_probability_tta,0.11,30,0.2517921241275959,0.14402870940158913,0.5706379121138553,0.9935419662444974,0.1615343057806373,0.9926219083824926,0.00737809156998992,11960,9550753,62080,8999
raw_probability_tta,0.11,50,0.2513916673914661,0.14376671019086693,0.5516007443100569,0.9938149346815857,0.1627920075474657,0.9928528662441529,0.007147133816033602,11561,9553377,59456,9398
raw_probability_tta,0.11,75,0.24202949798667206,0.13767551714291343,0.5061787299009942,0.9941641553535769,0.15903639743356734,0.9931025083373184,0.006897491868585348,10609,9556734,56099,10350
raw_probability_tta,0.11,100,0.2361688066464978,0.13389535661713717,0.47740827329525387,0.9944063316194082,0.15689041503988008,0.9932815655559089,0.006718434393405914,10006,9559062,53771,10953
raw_probability_tta,0.11,150,0.2163511385891202,0.1212969342059764,0.4032158022804508,0.9949325032485211,0.14783780001396896,0.9936451814612555,0.00635481858626008,8451,9564120,48713,12508
raw_probability_tta,0.11,200,0.19338260689366674,0.10704126265559799,0.3339376878666282,0.9953783655661126,0.13609847159021973,0.9939393543061746,0.006060645915567875,6999,9568406,44427,13960
raw_probability_tta,0.12,0,0.2762210306687595,0.16024155972614204,0.5874326065172062,0.9941874575372308,0.18056227726690124,0.9933025334157091,0.006697466596961021,12312,9556958,55875,8647
raw_probability_tta,0.12,3,0.27698954735192716,0.16075906383865834,0.5872894699171777,0.9942151288803197,0.18123325186251343,0.9933298331539637,0.006670166738331318,12309,9557224,55609,8650
raw_probability_tta,0.12,5,0.27774829202187595,0.16127044074640215,0.5867646357170729,0.9942474814656607,0.18193384223915884,0.9933609735398056,0.0066390265710651875,12298,9557535,55298,8661
