mode,threshold,dice,iou,sensitivity,specificity,precision,accuracy,mae,tp,tn,fp,fn
raw_probability,0.32,0.48472549533026,0.3198928602285879,0.529939405505735,0.9985683720917643,0.4466202903211039,0.997548836429102,0.0024511634837836027,11107,9599071,13762,9852
raw_probability,0.33,0.48894765840209614,0.32358088792943135,0.5292714347056018,0.9986140402106216,0.4543332241151481,0.9975929519757112,0.0024070481304079294,11093,9599510,13323,9866
raw_probability,0.34,0.49250944654356693,0.3267081477985531,0.5286034639054684,0.9986526344522983,0.4610295035577125,0.997630009034863,0.002369991037994623,11079,9599881,12952,9880
raw_probability,0.35,0.495572840779069,0.3294096611734275,0.5274106589052304,0.99868946022468,0.46736005411784737,0.9976641596580028,0.002335840370506048,11054,9600235,12598,9905
raw_probability,0.36,0.49784477894868145,0.3314203299178717,0.526265566105002,0.9987181718438248,0.4723364165808186,0.99769031758211,0.0023096823133528233,11030,9600511,12322,9929
raw_probability,0.37,0.5000567369447155,0.33338376808075615,0.5256453075048783,0.9987426183311403,0.47684383656489054,0.997713361467633,0.0022866385988891125,11017,9600746,12087,9942
raw_probability,0.38,0.5017440667531857,0.3348854195196644,0.5250250489047545,0.9987620714933871,0.48044009779930125,0.9977314228914212,0.002268576994538307,11004,9600933,11900,9955
raw_probability,0.39,0.5032063026748573,0.33618948528051407,0.5241662293045831,0.9987809004900002,0.4838581810171839,0.9977483425010619,0.002251657424494624,10986,9601114,11719,9973
raw_probability,0.4,0.5044730124415279,0.33732123635234895,0.5233074097044118,0.9987978569897127,0.48694725625977314,0.9977633936875522,0.0022366063203662634,10968,9601277,11556,9991
raw_probability,0.41,0.5054006646970769,0.338151270885346,0.522400877904231,0.998812004744074,0.4894720371941126,0.9977755384380305,0.002224461641162634,10949,9601413,11420,10010
raw_probability,0.42,0.5060636919087886,0.33874515879152944,0.5216374827040786,0.9988228236150561,0.4913928715895135,0.9977846729512108,0.0022153269965201616,10933,9601517,11316,10026
raw_probability,0.43,0.5067093838509295,0.3393240259941111,0.5206832387038882,0.9988346827620942,0.493465973321052,0.9977944302721079,0.002205569762736559,10913,9601631,11202,10046
raw_probability,0.44,0.5074293166890615,0.339970041193253,0.5197767069037074,0.9988468539919492,0.49565494335479515,0.9978046027981495,0.0021953971590846777,10894,9601748,11085,10065
raw_probability,0.45,0.5085054678006102,0.34093686354368136,0.5191564483035835,0.9988602735530713,0.4982827311441598,0.9978166437473417,0.002183356322348118,10881,9601877,10956,10078
raw_probability,0.46,0.509020195866991,0.341399792576655,0.5182976287034122,0.9988702602032087,0.5000690512357869,0.9978247402476605,0.0021752596367150545,10863,9601973,10860,10096
raw_probability,0.47,0.5095634193334956,0.3418886962004282,0.5173433847032218,0.9988810790741908,0.5020139821285698,0.9978334595556964,0.0021665403619408607,10843,9602077,10756,10116
raw_probability,0.48,0.5098491988688714,0.3421460421870459,0.5161982919029934,0.998890857669117,0.503654392253385,0.9978407256457261,0.0021592744160443544,10819,9602171,10662,10140
raw_probability,0.49,0.5101197364380158,0.3423897536694853,0.5152917601028125,0.9988989718223535,0.5050505050502688,0.9978468499216083,0.002153150038793683,10800,9602249,10584,10159
raw_probability,0.5,0.5107601979212314,0.3429670609181155,0.5146715015026887,0.998908438334463,0.5069078947366039,0.9978549464219272,0.0021450535859912634,10787,9602340,10493,10172
raw_probability,0.51,0.511408153089933,0.343551628440989,0.5138603941025269,0.9989191531778395,0.5089792060489088,0.9978638733325351,0.0021361266262829304,10770,9602443,10390,10189
raw_probability,0.52,0.5121881546370901,0.3442559999998898,0.5132878477024126,0.9989294519107937,0.5110931635704731,0.9978729040444293,0.0021270960569381714,10758,9602542,10291,10201
raw_probability,0.53,0.5127874797212252,0.3447977156789294,0.5127630135023079,0.9989378781468471,0.5128119482747947,0.9978801701344591,0.0021198298782110214,10747,9602623,10210,10212
raw_probability,0.54,0.5130757267614516,0.345058410838881,0.5115702085020699,0.9989478647969845,0.5145901324627977,0.997887540025775,0.0021124600898474455,10722,9602719,10114,10237
raw_probability,0.55,0.5137922763251347,0.34570690768226414,0.5109976621019557,0.9989575393643051,0.5166176257775714,0.9978959479299523,0.002104052109643817,10710,9602812,10021,10249
raw_probability,0.56,0.514337952270854,0.34620117883271384,0.5100434181017653,0.998968150180076,0.5187054199619008,0.9979044596354157,0.0020955402869731188,10690,9602914,9919,10269
raw_probability,0.57,0.5149345483473121,0.3467419888963518,0.5095662961016701,0.998976160305707,0.520417113341526,0.997911414321587,0.0020885856356471777,10680,9602991,9842,10279
raw_probability,0.58,0.5153866608648161,0.34715211515278366,0.5086120521014798,0.9989859389006333,0.5223441787531741,0.9979190956167614,0.002080904319882393,10660,9603085,9748,10299
raw_probability,0.59,0.515907053378761,0.34762448979580485,0.5079440813013465,0.9989944691642922,0.5241236707362524,0.9979261541042188,0.002073845826089382,10646,9603167,9666,10313
raw_probability,0.6,0.516348442889638,0.3480254109632759,0.5070852617011751,0.9990035195659792,0.525956351759031,0.9979333163929625,0.0020666837226599455,10628,9603254,9579,10331
raw_probability,0.61,0.5170197224250019,0.3486356024035896,0.5065604275010703,0.999012361912455,0.5279200437568853,0.9979409976881368,0.0020590024068951607,10617,9603339,9494,10342
raw_probability,0.62,0.5174678352578019,0.34904324342115434,0.5056538957008895,0.9990217243969588,0.5298470152982052,0.9979483675794527,0.002051632385700941,10598,9603429,9404,10361
raw_probability,0.63,0.5175629696716233,0.34912981737711796,0.5044133785006419,0.9990302546606178,0.5314165074894283,0.9979541804514765,0.0020458195358514786,10572,9603511,9322,10387
raw_probability,0.64,0.5182822085888299,0.3497846969193939,0.5038408321005278,0.9990397211727272,0.5335758678184358,0.9979623807530815,0.0020376192405819893,10560,9603602,9231,10399
raw_probability,0.65,0.5181614735753589,0.349674721189475,0.5026480271002898,0.9990461708842743,0.5346630125860056,0.9979662214006687,0.0020337786991149187,10535,9603664,9169,10424
raw_probability,0.66,0.5185075583831427,0.349990012650526,0.5015983587000803,0.9990555333687781,0.5365965700283092,0.9979732798881261,0.002026720205321908,10513,9603754,9079,10446
raw_probability,0.67,0.5191285209089401,0.3505560936507296,0.5007872512999185,0.999065624046521,0.5388643597902563,0.9979815839910173,0.002018416067585349,10496,9603851,8982,10463
raw_probability,0.68,0.5195327033260115,0.35092480900671796,0.49968987069969956,0.9990757147242639,0.5410166339495087,0.9979892652861916,0.0020107347518205643,10473,9603948,8885,10486
raw_probability,0.69,0.5199980101481146,0.3513495344693115,0.49873562669950916,0.9990853892915845,0.5431540659908843,0.9979968427800798,0.002003157278522849,10453,9604041,8792,10506
raw_probability,0.7,0.5203272310070035,0.351650203957674,0.49768595829929974,0.9990945437208771,0.5451267311206975,0.998003693664965,0.001996306236833334,10431,9604129,8704,10528
raw_probability,0.71,0.5208578363903504,0.3521350747782526,0.4965408654990712,0.9991058827298873,0.5476791916637471,0.9980125167742869,0.0019874831195920706,10407,9604238,8595,10552
raw_probability,0.72,0.521121814168041,0.35237642908018035,0.49558662149888083,0.9991138928555183,0.5494313673628408,0.9980184334475968,0.001981566660106182,10387,9604315,8518,10572
raw_probability,0.73,0.5210240418467657,0.35228702601586387,0.4942506798986143,0.9991213828431214,0.5508641318795262,0.9980230007041869,0.001976999221369624,10359,9604387,8446,10600
raw_probability,0.74,0.5214563057837422,0.3526823778178259,0.49339186029844295,0.9991301211619915,0.5529059509166695,0.9980298515890722,0.0019701484125107527,10341,9604471,8362,10618
raw_probability,0.75,0.5215874620827802,0.35280238005664505,0.4922467674982145,0.9991382353152282,0.5546475995911216,0.9980354568585237,0.0019645432475954294,10317,9604549,8284,10642
raw_probability,0.76,0.5219044721629343,0.3530925182668337,0.491101674697986,0.9991478058549431,0.5568298620500098,0.9980425153459812,0.0019574847538024187,10293,9604641,8192,10666
